trial,theme,topic_structure,g1_stage,level,condition,run_role,run,attempt,is_initial,point_label,overlap_ratio,flagged,point_word_count,story_word_count,cross_overlap_ratio,cross_flagged,n_shared_words
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run1,0,True,point_one,0.5,True,26,65,0.192,False,13
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run1,0,True,point_two,0.395,False,38,65,0.132,False,15
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run1,1,False,point_one,0.3,False,30,70,0.067,False,9
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run1,1,False,point_two,0.464,True,28,70,0.071,False,13
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run1,2,False,point_one,0.444,True,27,62,0.333,False,12
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run1,2,False,point_two,0.333,False,30,62,0.3,False,10
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run2,0,True,point_one,0.375,False,24,64,0.25,False,9
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run2,0,True,point_two,0.467,True,30,64,0.2,False,14
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run2,1,False,point_one,0.417,True,24,74,0.167,False,10
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run2,1,False,point_two,0.375,False,32,74,0.125,False,12
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run2,2,False,point_one,0.621,True,29,65,0.241,False,18
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run2,2,False,point_two,0.536,True,28,65,0.25,False,15
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run3,0,True,point_one,0.462,True,26,66,0.346,False,12
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run3,0,True,point_two,0.413,True,46,66,0.196,False,19
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run3,1,False,point_one,0.478,True,23,61,0.217,False,11
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run3,1,False,point_two,0.467,True,30,61,0.167,False,14
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run3,2,False,point_one,0.37,False,27,62,0.074,False,10
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run3,2,False,point_two,0.241,False,29,62,0.069,False,7
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run1,0,True,point_one,0.233,False,30,51,0.0,False,7
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run1,0,True,point_two,0.16,False,25,51,0.0,False,4
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run1,1,False,point_one,0.444,True,27,56,0.185,False,12
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run1,1,False,point_two,0.414,True,29,56,0.172,False,12
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run1,2,False,point_one,0.462,True,26,57,0.154,False,12
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run1,2,False,point_two,0.259,False,27,57,0.148,False,7
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run2,0,True,point_one,0.444,True,27,56,0.148,False,12
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run2,0,True,point_two,0.438,True,32,56,0.125,False,14
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run2,1,False,point_one,0.333,False,30,58,0.133,False,10
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run2,1,False,point_two,0.364,False,22,58,0.182,False,8
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run2,2,False,point_one,0.296,False,27,62,0.074,False,8
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run2,2,False,point_two,0.143,False,28,62,0.071,False,4
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run3,0,True,point_one,0.333,False,30,67,0.1,False,10
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run3,0,True,point_two,0.3,False,30,67,0.1,False,9
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run1,0,True,point_one,0.241,False,29,61,0.138,False,7
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run1,0,True,point_two,0.355,False,31,61,0.129,False,11
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run2,0,True,point_one,0.56,True,25,73,0.12,False,14
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run2,0,True,point_two,0.258,False,31,73,0.097,False,8
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run2,1,False,point_one,0.517,True,29,67,0.241,False,15
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run2,1,False,point_two,0.367,False,30,67,0.233,False,11
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run2,2,False,point_one,0.379,False,29,67,0.0,False,11
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run2,2,False,point_two,0.267,False,30,67,0.0,False,8
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run3,0,True,point_one,0.5,True,26,65,0.192,False,13
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run3,0,True,point_two,0.412,True,34,65,0.147,False,14
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run3,1,False,point_one,0.393,False,28,65,0.143,False,11
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run3,1,False,point_two,0.538,True,26,65,0.154,False,14
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run3,2,False,point_one,0.28,False,25,73,0.08,False,7
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run3,2,False,point_two,0.303,False,33,73,0.061,False,10
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run1,0,True,point_one,0.412,True,34,72,0.176,False,14
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run1,0,True,point_two,0.375,False,32,72,0.188,False,12
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run1,1,False,point_one,0.52,True,25,73,0.08,False,13
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run1,1,False,point_two,0.31,False,29,73,0.069,False,9
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run1,2,False,point_one,0.154,False,26,74,0.077,False,4
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run1,2,False,point_two,0.412,True,34,74,0.059,False,14
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run2,0,True,point_one,0.321,False,28,58,0.036,False,9
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run2,0,True,point_two,0.412,True,34,58,0.029,False,14
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run2,1,False,point_one,0.394,False,33,57,0.061,False,13
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run2,1,False,point_two,0.37,False,27,57,0.074,False,10
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run3,0,True,point_one,0.594,True,32,69,0.281,False,19
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run3,0,True,point_two,0.379,False,29,69,0.31,False,11
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run3,1,False,point_one,0.583,True,24,72,0.25,False,14
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run3,1,False,point_two,0.438,True,32,72,0.188,False,14
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run3,2,False,point_one,0.346,False,26,67,0.115,False,9
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run3,2,False,point_two,0.323,False,31,67,0.097,False,10
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run1,0,True,point_one,0.269,False,26,77,0.077,False,7
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run1,0,True,point_two,0.458,True,24,77,0.083,False,11
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run1,1,False,point_one,0.375,False,24,68,0.083,False,9
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run1,1,False,point_two,0.278,False,36,68,0.056,False,10
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run1,2,False,point_one,0.462,True,26,60,0.077,False,12
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run1,2,False,point_two,0.464,True,28,60,0.071,False,13
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run2,0,True,point_one,0.308,False,26,72,0.077,False,8
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run2,0,True,point_two,0.5,True,28,72,0.071,False,14
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run2,1,False,point_one,0.435,True,23,63,0.13,False,10
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run2,1,False,point_two,0.45,True,20,63,0.15,False,9
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run2,2,False,point_one,0.433,True,30,82,0.133,False,13
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run2,2,False,point_two,0.556,True,27,82,0.148,False,15
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run3,0,True,point_one,0.483,True,29,62,0.207,False,14
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run3,0,True,point_two,0.478,True,23,62,0.261,False,11
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run3,1,False,point_one,0.429,True,21,66,0.048,False,9
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run3,1,False,point_two,0.303,False,33,66,0.03,False,10
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run3,2,False,point_one,0.37,False,27,64,0.148,False,10
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run3,2,False,point_two,0.5,True,28,64,0.143,False,14
