article	set	rank	display_phrase	ja_gloss	rating
A01	A	1	stoppage time	アディショナルタイム	〇
A01	A	2	send in a cross	クロスを入れる	△
A01	A	3	shot on target	枠内シュート	〇
A01	A	4	power a header	強烈なヘディングを放つ	〇
A01	A	5	provide an assist	アシストを記録する	×
A01	A	6	take players off	選手を交代で下げる	〇
A01	A	7	go the other way	反対の方針を取る	×
A01	A	8	trade places	立場が入れ替わる	〇
A01	A	9	back-to-back titles	大会連覇	〇
A01	A	10	on the line	懸かっている	△
A01	B	1	stoppage time	アディショナルタイム	〇
A01	B	2	take off	選手を交代で下げる	△
A01	B	3	go the other way	反対の方針を取る	×
A01	B	4	trade places	立場が入れ替わる	〇
A01	B	5	with five minutes left	残り5分で	×
A01	B	6	shot on target	枠内シュート	〇
A01	B	7	despair	絶望	×
A01	B	8	hope to protect a lead	リードを守ろうとする	×
A01	B	9	close the door	可能性を閉ざす	×
A01	B	10	renew a rivalry	宿敵関係を再燃させる	〇
A01	C	1	stoppage time	アディショナルタイム	〇
A01	C	2	shot on target	枠内シュート	〇
A01	C	3	take off a player	選手を交代で下げる	〇
A01	C	4	send in a cross	クロスを入れる	△
A01	C	5	power a header	力強いヘディングを放つ	〇
A01	C	6	trade places	立場が逆転する	〇
A01	C	7	on the line	懸かっている	△
A01	C	8	despair	絶望	×
A01	C	9	deliver a decisive blow	決定打を与える	〇
A01	C	10	back-to-back titles	連覇	〇
A02	A	1	by default	初期設定では	△
A02	A	2	opt out	適用から外れる	〇
A02	A	3	be covered by	～の対象となる	△
A02	A	4	switch-off period	利用停止時間帯	〇
A02	A	5	recommendation feed	おすすめ表示フィード	〇
A02	A	6	take effect	施行される、効力を生じる	〇
A02	A	7	hands-off approach	不干渉の方針	〇
A02	A	8	seven in ten	10人中7人	×
A02	A	9	speed bump	行動を一度止める小さな障害	〇
A02	A	10	endless current of scrolling	延々と続くスクロールの流れ	〇
A02	B	1	by default	初期設定では	△
A02	B	2	opt out	適用を断る、離脱する	〇
A02	B	3	digital switch-off period	デジタル利用停止時間帯	〇
A02	B	4	speed bump	小さな障害、ひと手間	〇
A02	B	5	hands-off approach	介入しない方針	〇
A02	B	6	personalized recommendation feed	個人向けおすすめ欄	〇
A02	B	7	take effect	施行される、効力を持つ	〇
A02	B	8	seven in ten	10人中7人	×
A02	B	9	leave it untouched	それを変更せずにおく	△
A02	B	10	endless current of scrolling	延々と続くスクロールの流れ	〇
A02	C	1	by default	初期設定で	△
A02	C	2	opt out	適用を拒否する	〇
A02	C	3	digital switch-off period	デジタル利用停止時間帯	〇
A02	C	4	personalized recommendation feed	個人向けおすすめフィード	〇
A02	C	5	speed bump	小さな心理的障害	〇
A02	C	6	unavailable	利用できない	×
A02	C	7	depend on	～次第である	×
A02	C	8	urge	衝動	×
A02	C	9	somewhere between	～と～の中間に	×
A02	C	10	endless current of scrolling	延々と続くスクロールの流れ	〇
ADD03	A	1	blockade	海上封鎖	〇
ADD03	A	2	toll	通行料	〇
ADD03	A	3	be in place	実施中である	△
ADD03	A	4	freedom of navigation	航行の自由	〇
ADD03	A	5	breathe a sigh of relief	ほっと胸をなで下ろす	△
ADD03	A	6	hardly surprising	ほとんど驚くことではない	×
ADD03	A	7	intraday high	日中高値	〇
ADD03	A	8	Very Large Crude Carrier	大型原油タンカー	〇
ADD03	A	9	collide head-on with	～と真っ向から衝突する	〇
ADD03	A	10	hang over	不安の影を落とす	〇
ADD03	B	1	toll	通行料	〇
ADD03	B	2	blockade	海上封鎖	〇
ADD03	B	3	be in place	実施中である	△
ADD03	B	4	freedom of navigation	航行の自由	〇
ADD03	B	5	withdraw	撤回する	△
ADD03	B	6	smell of gunpowder	戦火の気配	〇
ADD03	B	7	breathe a sigh of relief	ほっと胸をなで下ろす	△
ADD03	B	8	even soo	それでもなお	×
ADD03	B	9	do more than	～するだけにとどまらない	×
ADD03	B	10	take a different form	別の形に変わる	〇
ADD03	C	1	blockade	封鎖、通航阻止	〇
ADD03	C	2	toll	通行料、通航料	〇
ADD03	C	3	breathe a sigh of relief	ほっと胸をなで下ろす	△
ADD03	C	4	be on edge	不安で緊張している	△
ADD03	C	5	be in place	依然として実施中である	△
ADD03	C	6	intraday high	日中の最高値	〇
ADD03	C	7	be withdrawn	撤回される	△
ADD03	C	8	collide head-on with	不安の影を落とす	〇
ADD03	C	9	freedom of navigation	航行の自由	〇
ADD03	C	10	Very Large Crude Carrier	大型原油タンカー	〇
