trial,theme,topic_structure,level,condition,run,point_label,point_word_count_raw,story_word_count_raw,raw_overlap_ratio,raw_flag,point_word_count_filtered,story_word_count_filtered,candidate_full_norm_overlap_ratio,candidate_full_norm_flag,candidate_no_ordinal_overlap_ratio,candidate_no_ordinal_flag
trial04,hanshin,single_event_boxscore,a2,baseline,run1,point_one,30,62,0.4333,True,25,47,0.36,False,0.36,False
trial04,hanshin,single_event_boxscore,a2,baseline,run1,point_two,31,62,0.3226,False,25,47,0.28,False,0.28,False
trial04,hanshin,single_event_boxscore,a2,baseline,run2,point_one,32,65,0.625,True,24,47,0.5417,True,0.5926,True
trial04,hanshin,single_event_boxscore,a2,baseline,run2,point_two,30,65,0.5333,True,25,47,0.44,True,0.44,True
trial04,hanshin,single_event_boxscore,a2,baseline,run3,point_one,30,62,0.3333,False,26,44,0.2692,False,0.2593,False
trial04,hanshin,single_event_boxscore,a2,baseline,run3,point_two,32,62,0.2188,False,26,44,0.1538,False,0.2143,False
trial04,hanshin,single_event_boxscore,a2,focus,run1,point_one,27,57,0.4444,True,23,42,0.3478,False,0.375,False
trial04,hanshin,single_event_boxscore,a2,focus,run1,point_two,31,57,0.2581,False,24,42,0.1667,False,0.2308,False
trial04,hanshin,single_event_boxscore,a2,focus,run2,point_one,30,62,0.2667,False,26,47,0.2308,False,0.2857,False
trial04,hanshin,single_event_boxscore,a2,focus,run2,point_two,32,62,0.1875,False,29,47,0.1034,False,0.1333,False
trial04,hanshin,single_event_boxscore,a2,focus,run3,point_one,32,67,0.375,False,25,53,0.32,False,0.3704,False
trial04,hanshin,single_event_boxscore,a2,focus,run3,point_two,33,67,0.303,False,29,53,0.2759,False,0.2667,False
trial04,hanshin,single_event_boxscore,b1b,baseline,run1,point_one,30,61,0.2333,False,24,45,0.1667,False,0.2,False
trial04,hanshin,single_event_boxscore,b1b,baseline,run1,point_two,31,61,0.3871,False,27,45,0.2963,False,0.2963,False
trial04,hanshin,single_event_boxscore,b1b,baseline,run2,point_one,31,67,0.3871,False,28,51,0.3214,False,0.3448,False
trial04,hanshin,single_event_boxscore,b1b,baseline,run2,point_two,33,67,0.2727,False,26,51,0.2308,False,0.2857,False
trial04,hanshin,single_event_boxscore,b1b,baseline,run3,point_one,28,73,0.25,False,25,58,0.16,False,0.16,False
trial04,hanshin,single_event_boxscore,b1b,baseline,run3,point_two,36,73,0.3056,False,29,58,0.2414,False,0.2903,False
trial04,hanshin,single_event_boxscore,b1b,focus,run1,point_one,30,74,0.1667,False,24,57,0.0833,False,0.1538,False
trial04,hanshin,single_event_boxscore,b1b,focus,run1,point_two,34,74,0.4118,True,29,57,0.3103,False,0.3333,False
trial04,hanshin,single_event_boxscore,b1b,focus,run2,point_one,34,55,0.3824,False,29,41,0.3103,False,0.3103,False
trial04,hanshin,single_event_boxscore,b1b,focus,run2,point_two,29,55,0.3448,False,21,41,0.2857,False,0.3478,False
trial04,hanshin,single_event_boxscore,b1b,focus,run3,point_one,28,67,0.3214,False,23,50,0.3043,False,0.36,False
trial04,hanshin,single_event_boxscore,b1b,focus,run3,point_two,33,67,0.303,False,30,50,0.2333,False,0.2581,False
trial06,hanshin,single_event_boxscore,a2,baseline,run1,point_one,28,60,0.4286,True,24,44,0.3333,False,0.36,False
trial06,hanshin,single_event_boxscore,a2,baseline,run1,point_two,30,60,0.4667,True,22,44,0.4545,True,0.52,True
trial06,hanshin,single_event_boxscore,a2,baseline,run2,point_one,33,82,0.4545,True,26,65,0.4231,True,0.4643,True
trial06,hanshin,single_event_boxscore,a2,baseline,run2,point_two,30,82,0.5333,True,26,65,0.4615,True,0.4615,True
trial06,hanshin,single_event_boxscore,a2,baseline,run3,point_one,29,64,0.3793,False,26,47,0.3077,False,0.3333,False
trial06,hanshin,single_event_boxscore,a2,baseline,run3,point_two,32,64,0.5,True,26,47,0.3846,False,0.4074,True
trial06,hanshin,single_event_boxscore,a2,focus_hint,run1,point_one,30,65,0.3667,False,22,49,0.2727,False,0.3077,False
trial06,hanshin,single_event_boxscore,a2,focus_hint,run1,point_two,32,65,0.2188,False,27,49,0.1852,False,0.2414,False
trial06,hanshin,single_event_boxscore,a2,focus_hint,run2,point_one,33,68,0.3939,False,27,52,0.3704,False,0.4138,True
trial06,hanshin,single_event_boxscore,a2,focus_hint,run2,point_two,33,68,0.2424,False,32,52,0.2188,False,0.2188,False
trial06,hanshin,single_event_boxscore,a2,focus_hint,run3,point_one,22,74,0.3636,False,21,58,0.3333,False,0.3333,False
trial06,hanshin,single_event_boxscore,a2,focus_hint,run3,point_two,33,74,0.4545,True,26,58,0.4231,True,0.4643,True
trial06,hanshin,single_event_boxscore,a2,hint_only,run1,point_one,28,62,0.3214,False,24,45,0.25,False,0.2692,False
trial06,hanshin,single_event_boxscore,a2,hint_only,run1,point_two,35,62,0.2571,False,28,45,0.2143,False,0.2667,False
trial06,hanshin,single_event_boxscore,b1b,baseline,run1,point_one,39,72,0.4872,True,33,54,0.3939,False,0.4286,True
