article_id,blind_set,strategy_id,rank,research_band,user_input_phrase,canonical_phrase,user_input_gloss,canonical_gloss,rating_symbol,score,phrase_match_status,gloss_match_status,source_span,source_sentence,extraction_form_qa_verdict,extraction_form_qa_notes
A01,A,L,1,TOP_5,stoppage time,stoppage time,アディショナルタイム,アディショナルタイム,〇,2,EXACT_MATCH,EXACT_MATCH,stoppage time,Then came stoppage time.,PASS,
A01,A,L,2,TOP_5,send in a cross,send in a cross,クロスを入れる,クロスを入れる,△,1,EXACT_MATCH,EXACT_MATCH,sent in a cross,"Then, in the 55th minute, Rogers sent in a cross.",PASS,
A01,A,L,3,TOP_5,shot on target,shot on target,枠内シュート,枠内シュート,〇,2,EXACT_MATCH,EXACT_MATCH,a single shot on target,Neither team managed a single shot on target before the break.,PASS,
A01,A,L,4,TOP_5,power a header,power a header,強烈なヘディングを放つ,強烈なヘディングを放つ,〇,2,EXACT_MATCH,EXACT_MATCH,powered a header into the net,Substitute Lautaro Martínez powered a header into the net.,PASS,
A01,A,L,5,TOP_5,provide an assist,provide an assist,アシストを記録する,アシストを記録する,×,0,EXACT_MATCH,EXACT_MATCH,provided two assists,"At 39, the captain provided two assists that night.",PASS,
A01,A,L,6,RANK_6_TO_10,take players off,take players off,選手を交代で下げる,選手を交代で下げる,〇,2,EXACT_MATCH,EXACT_MATCH,took off players,"England took off players including Rice and strengthened their defense, hoping to protect their lead.",PASS,
A01,A,L,7,RANK_6_TO_10,go the other way,go the other way,反対の方針を取る,反対の方針を取る,×,0,EXACT_MATCH,EXACT_MATCH,went the other way,Argentina went the other way.,PASS,
A01,A,L,8,RANK_6_TO_10,trade places,trade places,立場が入れ替わる,立場が入れ替わる,〇,2,EXACT_MATCH,EXACT_MATCH,celebration and despair had traded places,"In just seven minutes, celebration and despair had traded places.",PASS,
A01,A,L,9,RANK_6_TO_10,back-to-back titles,back-to-back titles,大会連覇,大会連覇,〇,2,EXACT_MATCH,EXACT_MATCH,back-to-back titles,"Argentina now advance to face Spain, with back-to-back titles on the line.",PASS,
A01,A,L,10,RANK_6_TO_10,on the line,on the line,懸かっている,懸かっている,△,1,EXACT_MATCH,EXACT_MATCH,on the line,"Argentina now advance to face Spain, with back-to-back titles on the line.",PASS,
A01,B,P,1,TOP_5,stoppage time,stoppage time,アディショナルタイム,アディショナルタイム,〇,2,EXACT_MATCH,EXACT_MATCH,stoppage time,Then came stoppage time.,PASS,
A01,B,P,2,TOP_5,take off,take off,選手を交代で下げる,選手を交代で下げる,△,1,EXACT_MATCH,EXACT_MATCH,took off,"England took off players including Rice and strengthened their defense, hoping to protect their lead.",FAIL,競技上の他動詞義「選手を交代で下げる」には目的語枠が必要で、take offだけではこの学習単位として短くしすぎている。基本形化と出典上の句動詞の抽出自体は正しい。
A01,B,P,3,TOP_5,go the other way,go the other way,反対の方針を取る,反対の方針を取る,×,0,EXACT_MATCH,EXACT_MATCH,went the other way,Argentina went the other way.,PASS,
A01,B,P,4,TOP_5,trade places,trade places,立場が入れ替わる,立場が入れ替わる,〇,2,EXACT_MATCH,EXACT_MATCH,had traded places,"In just seven minutes, celebration and despair had traded places.",PASS,
A01,B,P,5,TOP_5,with five minutes left,with five minutes left,残り5分で,残り5分で,×,0,EXACT_MATCH,EXACT_MATCH,With five minutes left,"With five minutes left, England strengthened their defense and reached for the door to the final.",PASS,
A01,B,P,6,RANK_6_TO_10,shot on target,shot on target,枠内シュート,枠内シュート,〇,2,EXACT_MATCH,EXACT_MATCH,shot on target,Neither team managed a single shot on target before the break.,PASS,
A01,B,P,7,RANK_6_TO_10,despair,despair,絶望,絶望,×,0,EXACT_MATCH,EXACT_MATCH,despair,"In just seven minutes, celebration and despair had traded places.",PASS,
A01,B,P,8,RANK_6_TO_10,hope to protect a lead,hope to protect a lead,リードを守ろうとする,リードを守ろうとする,×,0,EXACT_MATCH,EXACT_MATCH,hoping to protect their lead,"England took off players including Rice and strengthened their defense, hoping to protect their lead.",PASS,
A01,B,P,9,RANK_6_TO_10,close the door,close the door,可能性を閉ざす,可能性を閉ざす,×,0,EXACT_MATCH,EXACT_MATCH,close the door,England tried to close the door to the final.,PASS,
A01,B,P,10,RANK_6_TO_10,renew a rivalry,renew a rivalry,宿敵関係を再燃させる,宿敵関係を再燃させる,〇,2,EXACT_MATCH,EXACT_MATCH,renewed their famous rivalry,England and Argentina renewed their famous rivalry in a match with an ending no one could have imagined after such a quiet first half.,PASS,
A01,C,U,1,TOP_5,stoppage time,stoppage time,アディショナルタイム,アディショナルタイム,〇,2,EXACT_MATCH,EXACT_MATCH,stoppage time,Then came stoppage time.,PASS,
A01,C,U,2,TOP_5,shot on target,shot on target,枠内シュート,枠内シュート,〇,2,EXACT_MATCH,EXACT_MATCH,shot on target,Neither team managed a single shot on target before the break.,PASS,
A01,C,U,3,TOP_5,take off a player,take off a player,選手を交代で下げる,選手を交代で下げる,〇,2,EXACT_MATCH,EXACT_MATCH,took off players,"England took off players including Rice and strengthened their defense, hoping to protect their lead.",PASS,
A01,C,U,4,TOP_5,send in a cross,send in a cross,クロスを入れる,クロスを入れる,△,1,EXACT_MATCH,EXACT_MATCH,sent in a cross,"Then, in the 55th minute, Rogers sent in a cross.",PASS,
A01,C,U,5,TOP_5,power a header,power a header,力強いヘディングを放つ,力強いヘディングを放つ,〇,2,EXACT_MATCH,EXACT_MATCH,powered a header,Substitute Lautaro Martínez powered a header into the net.,PASS,
A01,C,U,6,RANK_6_TO_10,trade places,trade places,立場が逆転する,立場が逆転する,〇,2,EXACT_MATCH,EXACT_MATCH,had traded places,"In just seven minutes, celebration and despair had traded places.",PASS,
A01,C,U,7,RANK_6_TO_10,on the line,on the line,懸かっている,懸かっている,△,1,EXACT_MATCH,EXACT_MATCH,on the line,"Argentina now advance to face Spain, with back-to-back titles on the line.",PASS,
A01,C,U,8,RANK_6_TO_10,despair,despair,絶望,絶望,×,0,EXACT_MATCH,EXACT_MATCH,despair,"In just seven minutes, celebration and despair had traded places.",PASS,
A01,C,U,9,RANK_6_TO_10,deliver a decisive blow,deliver a decisive blow,決定打を与える,決定打を与える,〇,2,EXACT_MATCH,EXACT_MATCH,deliver the decisive blows,"Instead, he opened the way for Enzo and Lautaro to deliver the decisive blows.",PASS,
A01,C,U,10,RANK_6_TO_10,back-to-back titles,back-to-back titles,連覇,連覇,〇,2,EXACT_MATCH,EXACT_MATCH,back-to-back titles,"Argentina now advance to face Spain, with back-to-back titles on the line.",PASS,
A02,A,U,1,TOP_5,by default,by default,初期設定では,初期設定では,△,1,EXACT_MATCH,EXACT_MATCH,by default,"During those hours, apps covered by the plan would be unavailable by default.",PASS,
A02,A,U,2,TOP_5,opt out,opt out,適用から外れる,適用から外れる,〇,2,EXACT_MATCH,EXACT_MATCH,opt out,Teenagers aged 16 and 17 would still be able to change the settings and opt out.,PASS,
A02,A,U,3,TOP_5,be covered by,be covered by,～の対象となる,～の対象となる,△,1,EXACT_MATCH,EXACT_MATCH,covered by,"During those hours, apps covered by the plan would be unavailable by default.",PASS,短縮された受動表現へのbeの補完であり、新しい意味は加えていない。
A02,A,U,4,TOP_5,switch-off period,switch-off period,利用停止時間帯,利用停止時間帯,〇,2,EXACT_MATCH,EXACT_MATCH,switch-off period,"On July 15, the British government announced plans for a digital switch-off period for 16- and 17-year-olds.",PASS,digitalを除いても、利用停止期間を表す核は保たれている。
A02,A,U,5,TOP_5,recommendation feed,recommendation feed,おすすめ表示フィード,おすすめ表示フィード,〇,2,EXACT_MATCH,EXACT_MATCH,recommendation feeds,Personalized recommendation feeds would also be turned off.,PASS,personalizedを除き単数化しても、分野表現の意味の核は保たれている。
A02,A,U,6,RANK_6_TO_10,take effect,take effect,施行される、効力を生じる,施行される、効力を生じる,〇,2,EXACT_MATCH,EXACT_MATCH,take effect,The new measures are expected to take effect in the spring of 2027.,PASS,
A02,A,U,7,RANK_6_TO_10,hands-off approach,hands-off approach,不干渉の方針,不干渉の方針,〇,2,EXACT_MATCH,EXACT_MATCH,hands-off approach,This midnight speed bump sits somewhere between a strict ban and a complete hands-off approach.,PASS,
A02,A,U,8,RANK_6_TO_10,seven in ten,seven in ten,10人中7人,10人中7人,×,0,EXACT_MATCH,EXACT_MATCH,seven in ten,"In a separate experiment by Ofcom, around seven in ten children kept a safety setting when it was selected by default.",PASS,
A02,A,U,9,RANK_6_TO_10,speed bump,speed bump,行動を一度止める小さな障害,行動を一度止める小さな障害,〇,2,EXACT_MATCH,EXACT_MATCH,speed bump,"In other words, the plan puts a small speed bump before the automatic urge to watch “just one more.”",PASS,文脈上の比喩義に対応したグロスになっている。
A02,A,U,10,RANK_6_TO_10,endless current of scrolling,endless current of scrolling,延々と続くスクロールの流れ,延々と続くスクロールの流れ,〇,2,EXACT_MATCH,EXACT_MATCH,endless current of scrolling,"“What the UK is trying to switch off is not the glow of the smartphone, but the endless current of scrolling that carries teenagers right up to bedtime.”",PASS,
A02,B,L,1,TOP_5,by default,by default,初期設定では,初期設定では,△,1,EXACT_MATCH,EXACT_MATCH,by default,"During those hours, apps covered by the plan would be unavailable by default.",PASS,
A02,B,L,2,TOP_5,opt out,opt out,適用を断る、離脱する,適用を断る、離脱する,〇,2,EXACT_MATCH,EXACT_MATCH,opt out,Teenagers aged 16 and 17 would still be able to change the settings and opt out.,PASS,
A02,B,L,3,TOP_5,digital switch-off period,digital switch-off period,デジタル利用停止時間帯,デジタル利用停止時間帯,〇,2,EXACT_MATCH,EXACT_MATCH,digital switch-off period,"On July 15, the British government announced plans for a digital switch-off period for 16- and 17-year-olds.",PASS,
A02,B,L,4,TOP_5,speed bump,speed bump,小さな障害、ひと手間,小さな障害、ひと手間,〇,2,EXACT_MATCH,EXACT_MATCH,speed bump,"In other words, the plan puts a small speed bump before the automatic urge to watch “just one more.”",PASS,
A02,B,L,5,TOP_5,hands-off approach,hands-off approach,介入しない方針,介入しない方針,〇,2,EXACT_MATCH,EXACT_MATCH,hands-off approach,This midnight speed bump sits somewhere between a strict ban and a complete hands-off approach.,PASS,completeを除いても意味の核は保たれている。
A02,B,L,6,RANK_6_TO_10,personalized recommendation feed,personalized recommendation feed,個人向けおすすめ欄,個人向けおすすめ欄,〇,2,EXACT_MATCH,EXACT_MATCH,Personalized recommendation feeds,Personalized recommendation feeds would also be turned off.,PASS,複数形から単数見出し形への変更は適切。
A02,B,L,7,RANK_6_TO_10,take effect,take effect,施行される、効力を持つ,施行される、効力を持つ,〇,2,EXACT_MATCH,EXACT_MATCH,take effect,The new measures are expected to take effect in the spring of 2027.,PASS,
A02,B,L,8,RANK_6_TO_10,seven in ten,seven in ten,10人中7人,10人中7人,×,0,EXACT_MATCH,EXACT_MATCH,seven in ten,"In a separate experiment by Ofcom, around seven in ten children kept a safety setting when it was selected by default.",PASS,
A02,B,L,9,RANK_6_TO_10,leave it untouched,leave it untouched,それを変更せずにおく,それを変更せずにおく,△,1,EXACT_MATCH,EXACT_MATCH,leave it untouched,It will depend on how many more nights they leave it untouched—and simply go to sleep.,PASS,文脈依存のitを含むが、目的語を伴うまとまりとして成立している。
