trial,theme,topic_structure,g1_stage,level,condition,run_role,run,attempt,p1_anchor_ids,p2_anchor_ids,conflict_ids,conflict_count,union_count,jaccard_conflict_rate,cross_overlap_ratio,p1_story_overlap_ratio,p2_story_overlap_ratio,lexical_flagged_attempt,p1_transition,p2_transition,final_status,final_ng
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run1,0,FACT-02|FACT-03|FACT-04,FACT-01|FACT-02|FACT-05,FACT-02,1,5,0.2,0.192,0.5,0.395,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run1,1,FACT-01|FACT-02|FACT-05,FACT-03|FACT-04,,0,5,0.0,0.067,0.3,0.464,True,changed,changed,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run1,2,FACT-02|FACT-03|FACT-04|FACT-05,FACT-02|FACT-04|FACT-05,FACT-02|FACT-04|FACT-05,3,4,0.75,0.333,0.444,0.333,True,changed,changed,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run2,0,FACT-02|FACT-03|FACT-04,FACT-01|FACT-02|FACT-04|FACT-05,FACT-02|FACT-04,2,5,0.4,0.25,0.375,0.467,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run2,1,FACT-03|FACT-04,FACT-05,,0,3,0.0,0.167,0.417,0.375,True,changed,changed,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run2,2,FACT-01|FACT-02|FACT-04|FACT-05,FACT-03|FACT-04,FACT-04,1,5,0.2,0.241,0.621,0.536,True,changed,changed,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run3,0,FACT-02|FACT-04,FACT-03|FACT-05,,0,4,0.0,0.346,0.462,0.413,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run3,1,FACT-01|FACT-02|FACT-04|FACT-05,FACT-03|FACT-04,FACT-04,1,5,0.2,0.217,0.478,0.467,True,changed,changed,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,a2,baseline,baseline,run3,2,FACT-01|FACT-02|FACT-04|FACT-05,FACT-05,FACT-05,1,4,0.25,0.074,0.37,0.241,False,fixed,changed,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run1,0,FACT-05,FACT-03|FACT-04,,0,3,0.0,0.0,0.233,0.16,False,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run1,1,FACT-01|FACT-02|FACT-04|FACT-05,FACT-03|FACT-04,FACT-04,1,5,0.2,0.185,0.444,0.414,True,changed,fixed,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run1,2,FACT-01|FACT-04,FACT-05,,0,3,0.0,0.154,0.462,0.259,True,changed,changed,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run2,0,FACT-03|FACT-04,FACT-05,,0,3,0.0,0.148,0.444,0.438,True,n/a_first_attempt,n/a_first_attempt,OK,False
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run2,1,FACT-02|FACT-05,FACT-03|FACT-04,,0,4,0.0,0.133,0.333,0.364,False,changed,changed,OK,False
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run2,2,FACT-02|FACT-05,FACT-03|FACT-04,,0,4,0.0,0.074,0.296,0.143,False,fixed,fixed,OK,False
trial04,hanshin,single_event_boxscore,pre_g1,a2,focus,treatment,run3,0,FACT-02|FACT-05,FACT-01|FACT-03|FACT-04,,0,5,0.0,0.1,0.333,0.3,False,n/a_first_attempt,n/a_first_attempt,OK,False
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run1,0,FACT-01|FACT-02|FACT-05,FACT-01|FACT-03|FACT-04,FACT-01,1,5,0.2,0.138,0.241,0.355,False,n/a_first_attempt,n/a_first_attempt,OK,False
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run2,0,FACT-02|FACT-03|FACT-04,FACT-05,,0,4,0.0,0.12,0.56,0.258,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run2,1,FACT-01|FACT-02|FACT-03|FACT-04|FACT-05,FACT-02|FACT-04|FACT-05,FACT-02|FACT-04|FACT-05,3,5,0.6,0.241,0.517,0.367,True,changed,changed,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run2,2,FACT-03|FACT-04,FACT-05,,0,3,0.0,0.0,0.379,0.267,False,changed,regressed_to_earlier_state,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run3,0,FACT-01|FACT-02|FACT-03|FACT-04|FACT-05,FACT-02|FACT-04|FACT-05,FACT-02|FACT-04|FACT-05,3,5,0.6,0.192,0.5,0.412,True,n/a_first_attempt,n/a_first_attempt,OK,False
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run3,1,FACT-02|FACT-05,FACT-03|FACT-04,,0,4,0.0,0.143,0.393,0.538,True,changed,changed,OK,False
trial04,hanshin,single_event_boxscore,pre_g1,b1b,baseline,baseline,run3,2,FACT-01|FACT-02|FACT-04,FACT-01|FACT-03|FACT-05,FACT-01,1,5,0.2,0.08,0.28,0.303,False,changed,changed,OK,False
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run1,0,FACT-01|FACT-02|FACT-04|FACT-05,FACT-03|FACT-04,FACT-04,1,5,0.2,0.176,0.412,0.375,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run1,1,FACT-03|FACT-04,FACT-02|FACT-05,,0,4,0.0,0.08,0.52,0.31,True,changed,changed,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run1,2,FACT-02|FACT-05,FACT-01|FACT-04,,0,4,0.0,0.077,0.154,0.412,True,changed,changed,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run2,0,FACT-05,FACT-03|FACT-04,,0,3,0.0,0.036,0.321,0.412,True,n/a_first_attempt,n/a_first_attempt,OK,False
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run2,1,FACT-02|FACT-03|FACT-04,FACT-01|FACT-02|FACT-05,FACT-02,1,5,0.2,0.061,0.394,0.37,False,changed,changed,OK,False
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run3,0,FACT-01|FACT-02|FACT-04|FACT-05,FACT-02|FACT-04|FACT-05,FACT-02|FACT-04|FACT-05,3,4,0.75,0.281,0.594,0.379,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run3,1,FACT-02|FACT-03|FACT-04,FACT-01|FACT-02|FACT-05,FACT-02,1,5,0.2,0.25,0.583,0.438,True,changed,changed,NG_REVIEW_REQUIRED,True
trial04,hanshin,single_event_boxscore,pre_g1,b1b,focus,treatment,run3,2,FACT-02|FACT-05,FACT-03|FACT-04,,0,4,0.0,0.115,0.346,0.323,False,changed,changed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run1,0,FACT-01|FACT-02|FACT-05,FACT-01|FACT-03|FACT-04,FACT-01,1,5,0.2,0.077,0.269,0.458,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run1,1,FACT-01|FACT-02|FACT-03|FACT-04,FACT-02|FACT-05,FACT-02,1,5,0.2,0.083,0.375,0.278,False,changed,changed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run1,2,FACT-02|FACT-03|FACT-04,FACT-02|FACT-05,FACT-02,1,4,0.25,0.077,0.462,0.464,True,changed,fixed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run2,0,FACT-02|FACT-05,FACT-03|FACT-04,,0,4,0.0,0.077,0.308,0.5,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
